Data, Mediana
09/2021,221.427063
10/2022,124.567001
11/2022,156.653046
12/2022,164.929077
01/2022,262.016342
02/2022,243.502731
03/2022,244.652817
04/2022,216.16357399999998
05/2022,175.729324
06/2022,165.487244
07/2022,159.628357
08/2022,179.232895
09/2022,131.661697
10/2023,437.94595300000003
11/2023,481.335083
12/2023,482.2823635
01/2023,171.29596700000002
02/2023,219.912109
03/2023,255.328125
04/2023,270.953094
05/2023,291.72644
06/2023,410.130920
07/2023,454.5062565
08/2023,446.702942
09/2023,439.270752
01/2024,563.793579
02/2024,721.871155
03/2024,898.23999
04/2024,865.2000125
